Visualization,Diagram_Type,Scenario_Type,Scenario,Topology_Understanding,Topology_Understanding_Eval,Intent_Implementation,Intent_Implementation_Eval,Grade
GNS3,Messy_Layout,Topology Scenarios,Adding_Communication_Servers,,,,,
GNS3,Messy_Layout,Topology Scenarios,Adding_DMZ,,,,,
GNS3,Messy_Layout,Topology Scenarios,Adding_DRA,,,,,
GNS3,Messy_Layout,Topology Scenarios,Adding_Local_PCs,,,,,
GNS3,Messy_Layout,Topology Scenarios,Internet_Connectivity,,,,,
GNS3,Messy_Layout,Configuration Scenarios,Role_Based_CLI_Access,,,,,
GNS3,Messy_Layout,Configuration Scenarios,Time_Based_Access_List,,,,,
GNS3,Messy_Layout,Configuration Scenarios,Transparent_IOS_Firewall,,,,,
GNS3,Messy_Layout,Configuration Scenarios,Basic_Zone_Based_Firewall,,,,,
GNS3,Messy_Layout,Configuration Scenarios,IP_Traffic_Export,,,,,
GNS3,No_Labels_On_Edges,Topology Scenarios,Adding_Communication_Servers,,,,,
GNS3,No_Labels_On_Edges,Topology Scenarios,Adding_DMZ,,,,,
GNS3,No_Labels_On_Edges,Topology Scenarios,Adding_DRA,,,,,
GNS3,No_Labels_On_Edges,Topology Scenarios,Adding_Local_PCs,,,,,
GNS3,No_Labels_On_Edges,Topology Scenarios,Internet_Connectivity,,,,,
GNS3,No_Labels_On_Edges,Configuration Scenarios,Role_Based_CLI_Access,,,,,
GNS3,No_Labels_On_Edges,Configuration Scenarios,Time_Based_Access_List,,,,,
GNS3,No_Labels_On_Edges,Configuration Scenarios,Transparent_IOS_Firewall,,,,,
GNS3,No_Labels_On_Edges,Configuration Scenarios,Basic_Zone_Based_Firewall,,,,,
GNS3,No_Labels_On_Edges,Configuration Scenarios,IP_Traffic_Export,,,,,
GNS3,Normal,Topology Scenarios,Adding_Communication_Servers,,,,,
GNS3,Normal,Topology Scenarios,Adding_DMZ,,,,,
GNS3,Normal,Topology Scenarios,Adding_DRA,,,,,
GNS3,Normal,Topology Scenarios,Adding_Local_PCs,,,,,
GNS3,Normal,Topology Scenarios,Internet_Connectivity,,,,,
GNS3,Normal,Configuration Scenarios,Role_Based_CLI_Access,,,,,
GNS3,Normal,Configuration Scenarios,Time_Based_Access_List,,,,,
GNS3,Normal,Configuration Scenarios,Transparent_IOS_Firewall,,,,,
GNS3,Normal,Configuration Scenarios,Basic_Zone_Based_Firewall,,,,,
GNS3,Normal,Configuration Scenarios,IP_Traffic_Export,,,,,
Paper_Sketches,Messy_Layout,Topology Scenarios,Adding_Communication_Servers,,,,,
Paper_Sketches,Messy_Layout,Topology Scenarios,Adding_DMZ,,,,,
Paper_Sketches,Messy_Layout,Topology Scenarios,Adding_DRA,,,,,
Paper_Sketches,Messy_Layout,Topology Scenarios,Adding_Local_PCs,,,,,
Paper_Sketches,Messy_Layout,Topology Scenarios,Internet_Connectivity,,,,,
Paper_Sketches,Messy_Layout,Configuration Scenarios,Role_Based_CLI_Access,,,,,
Paper_Sketches,Messy_Layout,Configuration Scenarios,Time_Based_Access_List,,,,,
Paper_Sketches,Messy_Layout,Configuration Scenarios,Transparent_IOS_Firewall,,,,,
Paper_Sketches,Messy_Layout,Configuration Scenarios,Basic_Zone_Based_Firewall,,,,,
Paper_Sketches,Messy_Layout,Configuration Scenarios,IP_Traffic_Export,,,,,
Paper_Sketches,No_Labels_On_Edges,Topology Scenarios,Adding_Communication_Servers,,,,,
Paper_Sketches,No_Labels_On_Edges,Topology Scenarios,Adding_DMZ,,,,,
Paper_Sketches,No_Labels_On_Edges,Topology Scenarios,Adding_DRA,,,,,
Paper_Sketches,No_Labels_On_Edges,Topology Scenarios,Adding_Local_PCs,,,,,
Paper_Sketches,No_Labels_On_Edges,Topology Scenarios,Internet_Connectivity,,,,,
Paper_Sketches,No_Labels_On_Edges,Configuration Scenarios,Role_Based_CLI_Access,,,,,
Paper_Sketches,No_Labels_On_Edges,Configuration Scenarios,Time_Based_Access_List,,,,,
Paper_Sketches,No_Labels_On_Edges,Configuration Scenarios,Transparent_IOS_Firewall,,,,,
Paper_Sketches,No_Labels_On_Edges,Configuration Scenarios,Basic_Zone_Based_Firewall,,,,,
Paper_Sketches,No_Labels_On_Edges,Configuration Scenarios,IP_Traffic_Export,,,,,
Paper_Sketches,Normal,Topology Scenarios,Adding_Communication_Servers,,,,,
Paper_Sketches,Normal,Topology Scenarios,Adding_DMZ,,,,,
Paper_Sketches,Normal,Topology Scenarios,Adding_DRA,,,,,
Paper_Sketches,Normal,Topology Scenarios,Adding_Local_PCs,,,,,
Paper_Sketches,Normal,Topology Scenarios,Internet_Connectivity,,,,,
Paper_Sketches,Normal,Configuration Scenarios,Role_Based_CLI_Access,,,,,
Paper_Sketches,Normal,Configuration Scenarios,Time_Based_Access_List,,,,,
Paper_Sketches,Normal,Configuration Scenarios,Transparent_IOS_Firewall,,,,,
Paper_Sketches,Normal,Configuration Scenarios,Basic_Zone_Based_Firewall,,,,,
Paper_Sketches,Normal,Configuration Scenarios,IP_Traffic_Export,,,,,
PowerPoint,Messy_Layout,Topology Scenarios,Adding_Communication_Servers,,,,,
PowerPoint,Messy_Layout,Topology Scenarios,Adding_DMZ,,,,,
PowerPoint,Messy_Layout,Topology Scenarios,Adding_DRA,,,,,
PowerPoint,Messy_Layout,Topology Scenarios,Adding_Local_PCs,,,,,
PowerPoint,Messy_Layout,Topology Scenarios,Internet_Connectivity,,,,,
PowerPoint,Messy_Layout,Configuration Scenarios,Role_Based_CLI_Access,,,,,
PowerPoint,Messy_Layout,Configuration Scenarios,Time_Based_Access_List,,,,,
PowerPoint,Messy_Layout,Configuration Scenarios,Transparent_IOS_Firewall,,,,,
PowerPoint,Messy_Layout,Configuration Scenarios,Basic_Zone_Based_Firewall,,,,,
PowerPoint,Messy_Layout,Configuration Scenarios,IP_Traffic_Export,,,,,
PowerPoint,No_Labels_On_Edges,Topology Scenarios,Adding_Communication_Servers,,,,,
PowerPoint,No_Labels_On_Edges,Topology Scenarios,Adding_DMZ,,,,,
PowerPoint,No_Labels_On_Edges,Topology Scenarios,Adding_DRA,,,,,
PowerPoint,No_Labels_On_Edges,Topology Scenarios,Adding_Local_PCs,,,,,
PowerPoint,No_Labels_On_Edges,Topology Scenarios,Internet_Connectivity,,,,,
PowerPoint,No_Labels_On_Edges,Configuration Scenarios,Role_Based_CLI_Access,,,,,
PowerPoint,No_Labels_On_Edges,Configuration Scenarios,Time_Based_Access_List,,,,,
PowerPoint,No_Labels_On_Edges,Configuration Scenarios,Transparent_IOS_Firewall,,,,,
PowerPoint,No_Labels_On_Edges,Configuration Scenarios,Basic_Zone_Based_Firewall,,,,,
PowerPoint,No_Labels_On_Edges,Configuration Scenarios,IP_Traffic_Export,,,,,
PowerPoint,Normal,Topology Scenarios,Adding_Communication_Servers,,,,,
PowerPoint,Normal,Topology Scenarios,Adding_DMZ,,,,,
PowerPoint,Normal,Topology Scenarios,Adding_DRA,,,,,
PowerPoint,Normal,Topology Scenarios,Adding_Local_PCs,,,,,
PowerPoint,Normal,Topology Scenarios,Internet_Connectivity,,,,,
PowerPoint,Normal,Configuration Scenarios,Role_Based_CLI_Access,,,,,
PowerPoint,Normal,Configuration Scenarios,Time_Based_Access_List,,,,,
PowerPoint,Normal,Configuration Scenarios,Transparent_IOS_Firewall,,,,,
PowerPoint,Normal,Configuration Scenarios,Basic_Zone_Based_Firewall,,,,,
PowerPoint,Normal,Configuration Scenarios,IP_Traffic_Export,,,,,
